Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,20/10/2024 05:49,Tangerang Running,16.25,"1,086",01:42:02,134,152,3.9,175,235,06:17,05:20,9,33,0.9,8.8,7.9,253,06:15,243,0,240,292,"17,966",No,01:26.7,17,01:41:23,01:43:51,29,33
Running,19/10/2024 05:21,Tangerang Running,23.53,"1,557",02:19:11,139,157,4.9,178,196,05:55,04:27,29,29,0.94,8.4,7.9,246,05:54,256,0,253,353,"24,862",No,03:00.3,24,02:18:15,02:32:44,32,39
Running,18/10/2024 06:15,Tangerang Running,8.13,544,00:51:03,133,146,3.2,177,189,06:17,04:38,8,10,0.9,8.8,7.9,254,06:16,241,0,240,345,"9,024",No,00:53.3,9,00:50:58,00:51:40,34,40
Running,17/10/2024 05:27,Tangerang - Quality Session,13.04,868,01:17:05,139,163,4.2,170,235,05:55,04:01,8,36,0.98,8.3,8,244,05:50,272,0,252,384,"13,296",No,00:01:00,33,01:15:44,01:21:39,29,33
Running,15/10/2024 06:17,Tangerang Running,7.23,466,00:50:14,120,131,2.6,172,188,06:57,05:09,7,10,0.83,9.5,8,267,06:56,221,0,221,309,"8,656",No,01:41.7,8,00:50:10,00:50:36,33,39
Running,13/10/2024 06:04,Tangerang Running,10.02,663,01:05:09,129,140,3.2,174,184,06:30,05:38,2,40,0.88,9.1,8,259,06:29,234,0,233,300,"11,366",No,00:14.2,11,01:05:05,01:05:09,35,43
Running,12/10/2024 05:14,Tangerang - Quality Session,16,"1,091",01:29:42,153,170,5,172,248,05:36,04:09,9,35,1.04,8,8.2,239,05:35,282,0,266,392,"15,490",No,00:01.4,30,01:26:50,01:37:33,30,34
Running,02/10/2024 06:03,Tangerang Running,9.72,665,01:03:08,134,151,3.3,172,185,06:30,04:59,8,6,0.89,9.1,8.1,260,06:29,235,0,234,331,"10,924",No,04:47.1,10,01:02:59,01:16:38,29,32
Running,01/10/2024 06:15,Tangerang Running,7.27,462,00:51:02,118,131,2.4,171,181,07:01,05:04,5,27,0.83,9.5,7.9,266,07:02,218,0,217,322,"8,782",No,01:44.4,8,00:50:47,00:51:12,35,40
Running,29/09/2024 05:30,Tangerang Running,10.06,676,00:52:11,157,169,4.8,183,197,05:11,04:33,7,10,1.05,7.8,8.1,235,05:09,288,0,287,354,"9,544",No,00:16.7,11,00:51:58,00:52:11,36,45
Running,28/09/2024 06:28,Tangerang Running,5.03,333,00:34:34,121,139,2.4,172,184,06:52,05:41,8,10,0.85,9.5,8,266,06:50,225,0,224,280,"5,936",No,00:14.9,6,00:34:31,00:35:06,31,37
